episode,steps,return_train,return_plot,actual_score,avg_train_100,avg_plot_100,avg_score_100,max_plot,ecoef,coef_dis,play_ratio
100,763,127.78666666666666,150.0,150.0,162.6116,149.97,151.0,307.0,0.05,0.3,0.8333333333333334
200,1522,254.28,125.0,125.0,132.1644,148.97,149.65,577.0,0.05,0.3,0.7142857142857143
300,2291,83.97333333333333,162.0,162.0,127.45400000000001,146.07,146.96,577.0,0.05,0.3,0.7142857142857143
400,3053,154.2266666666667,77.0,77.0,127.8396,137.27,138.11,577.0,0.05,0.3,0.625
500,3837,52.839999999999996,101.0,101.0,115.22693333333332,133.72,134.55,577.0,0.05,0.3,0.625
600,4618,182.94666666666663,137.0,137.0,115.00853333333333,143.54,144.6,577.0,0.04983673469387755,0.3208333333333333,0.625
700,5376,141.30666666666667,118.0,118.0,163.06386666666666,145.59,146.51,577.0,0.04983673469387755,0.3208333333333333,0.7142857142857143
800,6139,12.253333333333316,109.0,109.0,132.58373333333336,142.96,143.81,586.0,0.04983673469387755,0.3208333333333333,0.625
900,6894,93.26666666666667,173.0,175.0,134.5050666666667,148.52,149.36,586.0,0.04983673469387755,0.3208333333333333,0.625
1000,7660,124.45333333333333,120.0,120.0,146.646,142.63,143.63,586.0,0.04983673469387755,0.3208333333333333,0.8333333333333334
1100,8436,57.613333333333344,103.0,104.0,162.21506666666667,156.61,157.6,586.0,0.049673469387755104,0.3416666666666667,0.625
1200,9195,28.053333333333356,86.0,86.0,129.95080000000002,143.73,144.52,586.0,0.049673469387755104,0.3416666666666667,0.625
1300,9960,53.32000000000001,141.0,141.0,118.03893333333333,143.82,144.87,586.0,0.049673469387755104,0.3416666666666667,0.7142857142857143
1400,10719,49.55999999999999,221.0,223.0,127.14293333333332,152.38,153.32,586.0,0.049673469387755104,0.3416666666666667,0.625
1500,11475,121.06666666666666,150.0,152.0,137.7984,142.94,143.96,586.0,0.049673469387755104,0.3416666666666667,0.625
1600,12237,189.01333333333332,142.0,144.0,131.7676,144.51,145.35,586.0,0.049673469387755104,0.3416666666666667,0.8333333333333334
1700,13010,76.74666666666667,104.0,104.0,145.42213333333333,144.52,145.22,586.0,0.049510204081632654,0.3625,0.8333333333333334
1800,13776,67.49333333333334,168.0,170.0,132.66613333333333,143.1,143.95,586.0,0.049510204081632654,0.3625,0.625
1900,14547,18.13333333333332,76.0,76.0,139.43213333333333,149.15,150.08,586.0,0.049510204081632654,0.3625,0.7142857142857143
2000,15308,-15.026666666666685,165.0,166.0,164.6129333333333,148.03,148.84,586.0,0.049510204081632654,0.3625,0.625
2100,16068,210.73333333333332,135.0,135.0,142.77306666666672,159.4,160.4,641.0,0.049510204081632654,0.3625,0.625
2200,16815,308.36,149.0,150.0,125.72333333333334,136.87,137.9,641.0,0.049346938775510205,0.3833333333333333,0.625
2300,17572,286.7733333333333,154.0,155.0,150.8072,157.14,158.39,641.0,0.049346938775510205,0.3833333333333333,0.625
2400,18337,63.453333333333326,73.0,73.0,128.1248,157.44,158.39,641.0,0.049346938775510205,0.3833333333333333,0.625
2500,19081,336.37333333333333,152.0,152.0,153.74706666666665,150.89,151.96,641.0,0.049346938775510205,0.3833333333333333,0.625
2600,19830,235.50666666666666,219.0,219.0,155.12599999999998,159.27,160.27,641.0,0.049346938775510205,0.3833333333333333,0.8333333333333334
2700,20596,188.49333333333334,191.0,191.0,143.88840000000002,155.97,157.1,641.0,0.049183673469387755,0.4041666666666667,0.625
2800,21332,288.17333333333335,197.0,198.0,133.78320000000002,148.92,150.04,641.0,0.049183673469387755,0.4041666666666667,0.7142857142857143
2900,22089,10.439999999999998,99.0,100.0,159.4522666666667,151.14,152.13,641.0,0.049183673469387755,0.4041666666666667,0.625
3000,22833,228.45333333333335,144.0,147.0,148.79506666666666,145.63,146.85,641.0,0.049183673469387755,0.4041666666666667,0.625
